"Institution id","Case url","Institution name","Institution tags","Jst category","Voivodship","County","Community","Jst full name","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","population_2025"
"2462","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1130","OLSZANKA","samorząd gminy","gmina wiejska","Mazowieckie","Łosicki","Olszanka","Mazowieckie / Łosicki / Olszanka (1410032, gmina wiejska)",127,127,0,"N/A",0,0,0,"b) NIE","a) TAK",2670
"952","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1131","OLSZEWO-BORKI","samorząd gminy","gmina wiejska","Mazowieckie","Ostrołęcki","Olszewo-Borki","Mazowieckie / Ostrołęcki / Olszewo-Borki (1415092, gmina wiejska)",86,84,2,"[f, g]",0,0,0,"b) NIE","b) NIE",11060
"90","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2101","Olsztyn","miasto na prawach powiatu","miasto na prawach powiatu","Warmińsko-Mazurskie","Olsztyn",,"Warmińsko-Mazurskie / Olsztyn (2862, miasto na prawach powiatu)",433,330,5,"[e, e, e]",2,2,0,"a) TAK","b) NIE",165390
"953","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1848","OLSZTYN","samorząd gminy","gmina miejsko-wiejska","Śląskie","Częstochowski","Olsztyn","Śląskie / Częstochowski / Olsztyn (2404123, gmina miejsko-wiejska)",121,118,2,"[e, f]",1,0,0,"b) NIE","a) TAK",8180
"1299","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2102","OLSZTYNEK","samorząd gminy","gmina miejsko-wiejska","Warmińsko-Mazurskie","Olsztyński","Olsztynek","Warmińsko-Mazurskie / Olsztyński / Olsztynek (2814093, gmina miejsko-wiejska)",161,157,4,"[a, b]",1,0,0,"b) NIE","b) NIE",13050
"722","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-96","OLSZYNA","samorząd gminy","gmina miejsko-wiejska","Dolnośląskie","Lubański","Olszyna","Dolnośląskie / Lubański / Olszyna (0210053, gmina miejsko-wiejska)",81,79,0,"[i]",1,0,0,"b) NIE","b) NIE",6200
"872","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-98","OŁAWA","samorząd gminy","gmina wiejska","Dolnośląskie","Oławski","Oława","Dolnośląskie / Oławski / Oława (0215042, gmina wiejska)",159,112,2,"[a, b, c]",2,1,0,"BD","b) NIE",15870
"481","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2268","OPALENICA","samorząd gminy","gmina miejsko-wiejska","Wielkopolskie","Nowotomyski","Opalenica","Wielkopolskie / Nowotomyski / Opalenica (3015053, gmina miejsko-wiejska)",103,103,0,"N/A",0,0,0,"b) NIE","a) TAK",15830
"1884","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1977","OPATOWIEC","samorząd gminy","gmina miejsko-wiejska","Świętokrzyskie","Kazimierski","Opatowiec","Świętokrzyskie / Kazimierski / Opatowiec (2603043, gmina miejsko-wiejska)",62,"BD",0,"[c, h]",0,0,0,"b) NIE","b) NIE",2890
"954","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1849","OPATÓW","samorząd gminy","gmina wiejska","Śląskie","Kłobucki","Opatów","Śląskie / Kłobucki / Opatów (2406052, gmina wiejska)",40,40,0,"N/A",0,0,0,"b) NIE","b) NIE",6510
"322","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2269","OPATÓWEK","samorząd gminy","gmina miejsko-wiejska","Wielkopolskie","Kaliski","Opatówek","Wielkopolskie / Kaliski / Opatówek (3007083, gmina miejsko-wiejska)",61,61,0,"N/A",0,0,0,"b) NIE","b) NIE",10570
"1885","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1132","OPINOGÓRA GÓRNA","samorząd gminy","gmina wiejska","Mazowieckie","Ciechanowski","Opinogóra Górna","Mazowieckie / Ciechanowski / Opinogóra Górna (1402072, gmina wiejska)",64,64,0,"N/A",0,0,0,"b) NIE","b) NIE",5760
"2172","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-706","OPOCZNO","samorząd gminy","gmina miejsko-wiejska","Łódzkie","Opoczyński","Opoczno","Łódzkie / Opoczyński / Opoczno (1007043, gmina miejsko-wiejska)",91,89,0,"[c]",0,0,0,"a) TAK","b) NIE",31060
"2376","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1324","Opole","miasto na prawach powiatu","miasto na prawach powiatu","Opolskie","Opole",,"Opolskie / Opole (1661, miasto na prawach powiatu)",452,452,4,"[f, h]",0,1,0,"b) NIE","b) NIE",124560
"955","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-428","OPOLE LUBELSKIE","samorząd gminy","gmina miejsko-wiejska","Lubelskie","Opolski","Opole Lubelskie","Lubelskie / Opolski / Opole Lubelskie (0612053, gmina miejsko-wiejska)",97,88,0,"[a, f]",0,0,0,"b) NIE","b) NIE",15880
"323","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-707","OPORÓW","samorząd gminy","gmina wiejska","Łódzkie","Kutnowski","Oporów","Łódzkie / Kutnowski / Oporów (1002092, gmina wiejska)",29,29,0,"N/A",0,0,0,"b) NIE","b) NIE",2350
"169","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2270","ORCHOWO","samorząd gminy","gmina wiejska","Wielkopolskie","Słupecki","Orchowo","Wielkopolskie / Słupecki / Orchowo (3023032, gmina wiejska)",18,18,0,"N/A",0,0,0,"b) NIE","a) TAK",3520
"507","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1583","Orla","samorząd gminy","gmina wiejska","Podlaskie","Bielski","Orla","Podlaskie / Bielski / Orla (2003062, gmina wiejska)",93,92,1,"[g]",0,0,0,"b) NIE","b) NIE",2360
"1886","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1454","ORŁY","samorząd gminy","gmina wiejska","Podkarpackie","Przemyski","Orły","Podkarpackie / Przemyski / Orły (1813072, gmina wiejska)",86,86,0,"N/A",0,0,0,"b) NIE","b) NIE",8500
"2140","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2103","ORNETA","samorząd gminy","gmina miejsko-wiejska","Warmińsko-Mazurskie","Lidzbarski","Orneta","Warmińsko-Mazurskie / Lidzbarski / Orneta (2809053, gmina miejsko-wiejska)",89,86,3,"[i]",0,0,1,"b) NIE","a) TAK",10680
"1300","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1850","ORNONTOWICE","samorząd gminy","gmina wiejska","Śląskie","Mikołowski","Ornontowice","Śląskie / Mikołowski / Ornontowice (2408042, gmina wiejska)",82,81,0,"[i]",0,0,0,"b) NIE","b) NIE",6200
"1301","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1133","OROŃSKO","samorząd gminy","gmina wiejska","Mazowieckie","Szydłowiecki","Orońsko","Mazowieckie / Szydłowiecki / Orońsko (1430042, gmina wiejska)",144,109,1,"[b, c, f]",0,0,0,"a) TAK","b) NIE",5880
"2020","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1851","ORZESZE","samorząd gminy","gmina miejska","Śląskie","Mikołowski","Orzesze","Śląskie / Mikołowski / Orzesze (2408031, gmina miejska)",83,82,0,"[a]",0,0,0,"b) NIE","b) NIE",22240
"1431","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2104","ORZYSZ","samorząd gminy","gmina miejsko-wiejska","Warmińsko-Mazurskie","Piski","Orzysz","Warmińsko-Mazurskie / Piski / Orzysz (2816023, gmina miejsko-wiejska)",86,86,0,"[a, b, c]",0,0,0,"b) NIE","b) NIE",8250
"1661","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-258","OSIE","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Świecki","Osie","Kujawsko-Pomorskie / Świecki / Osie (0414072, gmina wiejska)",78,77,0,"[a, b, c]",0,0,0,"b) NIE","b) NIE",5360
"418","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1134","OSIECK","samorząd gminy","gmina miejsko-wiejska","Mazowieckie","Otwocki","Osieck","Mazowieckie / Otwocki / Osieck (1417063, gmina miejsko-wiejska)",69,69,0,"N/A",1,0,0,"b) NIE","b) NIE",3640
